activity,destination,type,price
River Rafting,Manali,Adventure,1500
Trekking,Manali,Adventure,800
Paragliding,Manali,Adventure,2500
Sightseeing,Manali,Leisure,500
Skiing,Solang Valley,Adventure,3000
Hot Air Balloon,Bir,Adventure,4000
Mountain Biking,Manali,Adventure,1200
Rock Climbing,Manali,Adventure,1000
Zorbing,Manali,Adventure,600
Camping,Tirthan Valley,Adventure,800
Yak Safari,Manali,Adventure,1500
Ice Skating,Shimla,Adventure,500
Toy Train Ride,Shimla,Leisure,300
Mall Road Walk,Shimla,Leisure,0
Jakhu Temple Visit,Shimla,Cultural,0
Christ Church Tour,Shimla,Cultural,0
Tara Devi Temple,Shimla,Cultural,0
Tibetan Museum,Dharamshala,Cultural,200
Dalai Lama Temple,Dharamshala,Cultural,0
Triund Trek,Dharamshala,Adventure,1000
Bhagsu Waterfall,Dharamshala,Leisure,0
Naddi Sunset Point,Dharamshala,Leisure,0
Kalatop Trek,Dalhousie,Adventure,1200
Panchpula Waterfall,Dalhousie,Leisure,0
Khajjiar Lake,Khajjiar,Leisure,0
Paragliding,Bir,Adventure,2500
Hang Gliding,Bir,Adventure,3500
Trekking,Tirthan Valley,Adventure,900
Fishing,Tirthan Valley,Leisure,500
Bird Watching,Great Himalayan National Park,Leisure,300
Temple Tour,Baijnath,Cultural,0
Tea Estate Tour,Palampur,Leisure,400
Cricket Stadium Visit,Dharamshala,Leisure,200
Chamera Lake Boating,Chamba,Leisure,600
Trekking,Khajjiar,Adventure,800
Horse Riding,Khajjiar,Leisure,400
Jogini Waterfall Trek,Manali,Adventure,700
Hadimba Temple,Manali,Cultural,0
Old Manali Cafe Tour,Manali,Leisure,0
Vashisht Hot Springs,Manali,Leisure,100
